depth,alpha,beta,efficiency,status
0,13.4616011024,-0.0864717874527,4.07437023256,Maximum number of function evaluations has been exceeded.
1,0.483072916667,0.123212890625,2.48709600798,Normal
2,0.446875,0.10690625,2.08885797715,Normal
3,0.317546081543,0.169786987305,1.97238282578,Normal
4,0.307500203451,0.168289794922,1.79256041657,Normal
5,0.317309570312,0.192360351562,1.73011490918,Normal
6,0.275455729167,0.207614257812,1.61208658511,Normal
7,0.264982096354,0.232305175781,1.60318428849,Normal
8,0.203610738118,0.251974456787,1.57926941146,Normal
9,0.188404973348,0.266367330551,1.59550945345,Normal
