depth,alpha,beta,efficiency,status
0,7.65,-0.00375,5.76533379602,Normal
1,8.88647432327,-0.0401432504654,4.03100140693,Normal
2,1.25277777778,0.297,3.18113134956,Normal
3,0.583081054687,0.407365234375,3.05555283139,Normal
4,0.539720916748,0.41391595459,3.03923550734,Normal
5,0.504531796773,0.438548881531,3.06861498885,Normal
6,0.387229410807,0.452981933594,3.09785490934,Normal
7,0.405500793457,0.45139074707,3.10457269809,Normal
8,0.407904052734,0.451134277344,3.1116488192,Normal
9,0.387117513021,0.453470703125,3.11659757767,Normal
