depth,alpha,beta,efficiency,status
0,21.9319335938,-0.15008984375,4.64269754166,Maximum number of function evaluations has been exceeded.
1,1.9,0.11825,3.01455854652,Normal
2,0.765625,0.1973125,2.50489529475,Normal
3,0.518178304036,0.247000152588,2.12925500221,Normal
4,0.324934895833,0.2853984375,1.90205085821,Normal
5,0.214394124349,0.313133926392,1.81052866781,Normal
6,0.139034366608,0.34042699635,1.80710136083,Normal
7,0.0881819326844,0.362349513471,1.833329329,Normal
8,0.053870714104,0.378520462677,1.86907038653,Normal
9,0.0300242750181,0.389308927178,1.90215416995,Normal
