depth,alpha,beta,efficiency,status
0,19.5648742676,-0.0930031738281,4.91070681723,Maximum number of function evaluations has been exceeded.
1,2.21666666667,0.11,3.5520377341,Normal
2,0.597309027778,0.220515625,2.55797512276,Normal
3,0.20171101888,0.296047973633,1.87478507366,Normal
4,0.0753908051385,0.348741970062,1.63880601639,Normal
5,0.0139838324653,0.381927734375,1.59934476509,Normal
6,-0.0443584865994,0.410350219727,1.61331691374,Normal
7,-0.0963758680556,0.435015625,1.63927691807,Normal
8,-0.119574652778,0.44584375,1.6666775098,Normal
9,-0.145213996039,0.45653894043,1.68654212556,Normal
