depth,alpha,beta,efficiency,status
0,7.65,-0.003125,4.81645846061,Normal
1,4.37021484375,0.04825390625,3.10647535115,Normal
2,0.239420572917,0.316271484375,2.36591926268,Normal
3,0.159333292643,0.342661766052,2.0195001396,Normal
4,0.0400349881914,0.360121555328,1.82489543624,Normal
5,-0.0272532145182,0.402829345703,1.796451052,Normal
6,-0.0571628146701,0.421641601563,1.69674988459,Normal
7,-0.101519097222,0.43346875,1.68795906463,Normal
8,-0.131759982639,0.4445546875,1.692918414,Normal
9,-0.157586288452,0.454210906982,1.67131594152,Normal
