depth,alpha,beta,efficiency,status
0,2.775,0.3795,6.14882603367,Normal
1,5.97495117188,0.435955566406,4.05017577243,Normal
2,0.0885997136434,0.604896643162,3.41625814359,Normal
3,-0.112022569444,0.640921875,3.27755111914,Normal
4,-0.218327162001,0.667118041992,3.22829452364,Normal
5,-0.264231824875,0.678061037064,3.21094707476,Normal
6,-0.30083044014,0.684752343625,3.20022737535,Normal
7,-0.325084341897,0.689149240494,3.21004805522,Normal
8,-0.344773136576,0.692644040465,3.21761110753,Normal
9,-0.36073812594,0.695038059622,3.22708508031,Normal
