depth,alpha,beta,efficiency,status
0,2.55555555556,0.462,6.40370395856,Normal
1,12.6067441195,0.39693000567,4.99783242418,Normal
2,0.200360275639,0.613490319729,4.48087653888,Normal
3,0.0118859079149,0.659537624359,4.36018354019,Normal
4,-0.105725097656,0.682478027344,4.32404476529,Normal
5,-0.166233317057,0.694152099609,4.32203045241,Normal
6,-0.208707639906,0.699248428345,4.31129891903,Normal
7,-0.230607668559,0.70457390976,4.31643479131,Normal
8,-0.250989723206,0.70730834198,4.32203670804,Normal
9,-0.261454518636,0.707480804443,4.3279576619,Normal
