depth,alpha,beta,efficiency,status
0,4.125,0.033,4.57888473197,Normal
1,2.32222222222,0.1045,3.47311113887,Normal
2,0.828819444444,0.2096875,2.68926089329,Normal
3,0.3625,0.30525,2.26766564314,Normal
4,0.228238932292,0.363354492187,2.17497649403,Normal
5,0.117832438151,0.404678764343,2.17912538053,Normal
6,0.0543477376302,0.426025588989,2.20900919856,Normal
7,0.00888484319051,0.443703565836,2.24019488589,Normal
8,-0.0149612002903,0.453545562744,2.26374030995,Normal
9,-0.0304470486111,0.456671875,2.28253851363,Normal
