depth,alpha,beta,efficiency,status
0,3.94114583333,0.01375,4.82092044193,Normal
1,2.16145833333,0.078375,3.47988879924,Normal
2,0.641666666667,0.2365,2.77204642951,Normal
3,0.412312825521,0.312355957031,2.47966511955,Normal
4,0.318200429281,0.370712974548,2.43056742744,Normal
5,0.218813069661,0.409416320801,2.46268942874,Normal
6,0.147399012248,0.436448741913,2.50469327922,Normal
7,0.115979562865,0.448869621754,2.53717476574,Normal
8,0.0974059528775,0.45444478035,2.55740180062,Normal
9,0.0909120996793,0.45567348361,2.56945653824,Normal
