depth,alpha,beta,efficiency,status
0,21.5625,-0.215080078125,5.30309311873,Normal
1,3.721875,0.16225,3.79035077023,Normal
2,0.676365152995,0.388174316406,2.71824574239,Normal
3,0.0764322916667,0.5005859375,2.38974921758,Normal
4,-0.113888888889,0.55,2.33349591513,Normal
5,-0.117355685764,0.537686767578,2.33495915132,Normal
6,-0.23427090115,0.570272521973,2.34272243222,Normal
7,-0.2687628852,0.575197143555,2.35320895826,Normal
8,-0.294420411852,0.580686988831,2.36406129334,Normal
9,-0.308589002821,0.580702514648,2.37353168313,Normal
