depth,alpha,beta,efficiency,status
0,3.1125,0.114125,5.17614349776,Normal
1,1.25277777778,0.2145,3.46466367713,Normal
2,-0.103819444444,0.44825,2.48286995516,Normal
3,-0.116666666667,0.462,2.21426008969,Normal
4,-0.247970920139,0.5031640625,2.14484304933,Normal
5,-0.290634833442,0.516100341797,2.15049327354,Normal
6,-0.326494291094,0.529786476135,2.13883408072,Normal
7,-0.35252532959,0.543475463867,2.11901345291,Normal
8,-0.366297880809,0.546133515358,2.11946188341,Normal
9,-0.378445095486,0.552347167969,2.12206278027,Normal
