depth,alpha,beta,efficiency,status
0,3.0,0.22,5.03735554958,Normal
1,0.836111111111,0.297,3.73528621338,Normal
2,0.183333333333,0.400125,2.90325181403,Normal
3,-0.120833333333,0.50875,2.69148078474,Normal
4,-0.105555555556,0.484,2.6310131685,Normal
5,-0.115451388889,0.468875,2.64982531578,Normal
6,-0.119704861111,0.4585625,2.65923138941,Normal
7,-0.118055555556,0.451,2.66702499328,Normal
8,-0.336458333333,0.56375,2.65305025531,Normal
9,-0.344683837891,0.563852050781,2.65439398011,Normal
