depth,alpha,beta,efficiency,status
0,56.4881011963,-0.15807775116,3.57910121351,Maximum number of function evaluations has been exceeded.
1,0.1234375,0.2503359375,2.79305730356,Normal
2,-0.855705098042,3.83630072324,1.5303560885,Maximum number of function evaluations has been exceeded.
3,-0.893913110925,0.953674782872,1.52424583197,Normal
4,-0.615227355146,1.58439466976,1.3347734971,Maximum number of function evaluations has been exceeded.
5,-0.732521790597,0.961725728512,1.39383963393,Normal
6,-0.767677757475,0.957658210754,1.40448208487,Normal
7,-0.836219509333,0.964572114406,1.39428343355,Normal
8,-0.852091240593,0.965648764044,1.40227668236,Normal
9,-0.864295907422,0.966067280561,1.40894144564,Normal
