depth,alpha,beta,efficiency,status
0,4.65,0.011,4.67377224349,Normal
1,3.13854166667,0.070125,3.52586736152,Normal
2,0.753776041667,0.213984375,2.7338279196,Normal
3,0.309244791667,0.294421875,2.15288433149,Normal
4,0.146746571859,0.358245826721,1.94576500748,Normal
5,0.0517576247454,0.402310502768,1.92249867605,Normal
6,-0.010651228163,0.428667411804,1.94649376456,Normal
7,-0.0668046739366,0.452771453857,1.98128664289,Normal
8,-0.100233968099,0.467706115723,2.01188038073,Normal
9,-0.11220703125,0.472215820313,2.03718770064,Normal
