depth,alpha,beta,efficiency,status
0,2.65138888889,0.10175,4.53529752356,Normal
1,1.7421875,0.0831875,3.38414397513,Normal
2,1.10954861111,0.146953125,2.79828622777,Normal
3,0.596796332465,0.229877441406,2.39666625853,Normal
4,0.376822916667,0.303703125,2.28177212931,Normal
5,0.260774739583,0.359914306641,2.30423503874,Normal
6,0.174417114258,0.401106273651,2.36561581037,Normal
7,0.122042020162,0.429091337442,2.424143062,Normal
8,0.100941271614,0.444320662882,2.46645609418,Normal
9,0.091408248908,0.4515143691,2.49236813106,Normal
