depth,alpha,beta,efficiency,status
0,0.816666666667,0.3135,1.21419636177,Normal
1,4.836328125,0.238057617187,0.85518183377,Normal
2,3.42854003906,0.293487304687,0.826088820302,Normal
3,1.921875,0.391875,0.818705963961,Normal
4,1.29000244141,0.446332519531,0.81806685684,Normal
5,0.864492458767,0.481153320313,0.812451287567,Normal
6,0.566661771139,0.510183620453,0.816217732884,Normal
7,0.361848958333,0.5298046875,0.82231847799,Normal
8,0.23720703125,0.539365234375,0.823203095773,Normal
9,0.142012532552,0.546199951172,0.827519017334,Normal
