depth,alpha,beta,efficiency,status
0,3.09375,0.221375,5.45815899582,Normal
1,1.58333333333,0.358875,3.87638598326,Normal
2,0.0697102864583,0.47966015625,3.16869769874,Normal
3,-0.266696209378,0.586897315979,2.91161087866,Normal
4,-0.336255560981,0.620958862305,2.84767259414,Normal
5,-0.368486714032,0.625322151482,2.81888075314,Normal
6,-0.398331165314,0.631458288431,2.81286610879,Normal
7,-0.411007859972,0.637949352264,2.80656380753,Normal
8,-0.437046010792,0.652122945283,2.80706066946,Normal
9,-0.451369216707,0.657539557815,2.80564853556,Normal
