depth,alpha,beta,efficiency,status
0,2.55555555556,0.44,5.07945935037,Maximum number of function evaluations has been exceeded.
1,0.832161458333,0.50896484375,3.73493936431,Normal
2,0.3390625,0.53109375,3.18619362008,Normal
3,0.416092936198,0.469401367187,2.92991447839,Normal
4,0.15612188975,0.500780366898,2.82411981936,Normal
5,0.0141479492187,0.534786376953,2.82973782634,Normal
6,-0.0705257839627,0.559174499512,2.86351925481,Normal
7,-0.110427517361,0.573095703125,2.89277037068,Normal
8,-0.14270544822,0.58327878518,2.9133959391,Normal
9,-0.161335835502,0.588747705761,2.92775481534,Normal
