depth,alpha,beta,efficiency,status
0,3.45,0.176,3.52161097564,Normal
1,1.58333333333,0.22,2.2828853935,Normal
2,0.189583333333,0.388265625,1.66810471878,Normal
3,-0.110590277778,0.49328125,1.47067177577,Normal
4,-0.154340277778,0.52078125,1.43535464509,Normal
5,-0.218403498332,0.541058387756,1.43932045339,Normal
6,-0.254625108507,0.550923828125,1.44457246979,Normal
7,-0.280873446994,0.556916625977,1.44896701412,Normal
8,-0.293663194444,0.5630625,1.4513518583,Normal
9,-0.306269327799,0.566234130859,1.45295961842,Normal
