depth,alpha,beta,efficiency,status
0,11.01328125,-0.0740029296875,4.07860621956,Normal
1,3.45,0.044,3.03761708505,Normal
2,1.41666666667,0.1595,2.49657799426,Normal
3,0.636695628696,0.281766613007,2.28767953041,Normal
4,0.392708333333,0.3485625,2.229636568,Normal
5,0.208913103739,0.398361052036,2.21326339453,Normal
6,0.0932291666667,0.42809765625,2.18295241664,Normal
7,0.0327473958333,0.440529052734,2.20260397152,Normal
8,-0.0118249575297,0.455747900009,2.23287123767,Normal
9,-0.0315456390381,0.469680747986,2.26108405145,Normal
