depth,alpha,beta,efficiency,status
0,3.29194335938,0.104569824219,2.64994012756,Normal
1,2.41666666667,0.066,2.08701564335,Normal
2,1.03989969889,0.150961639404,1.67908890488,Normal
3,0.636008029514,0.230572998047,1.39661457041,Normal
4,0.413916015625,0.309600585938,1.28220237504,Normal
5,0.297456328074,0.367442891121,1.26806772307,Normal
6,0.211395263672,0.405478637695,1.28776254943,Normal
7,0.145546793938,0.430429440022,1.30974369633,Normal
8,0.100669769901,0.444833964296,1.32741433795,Normal
9,0.0786945296658,0.450639833808,1.3398293377,Normal
