depth,alpha,beta,efficiency,status
0,3.5625,0.2805,2.29439490998,Normal
1,0.600347222222,0.43175,1.63113062092,Normal
2,0.29521891276,0.523560791016,1.37938927677,Normal
3,0.124672698975,0.581079330444,1.34628156949,Normal
4,0.0448162198895,0.608321116358,1.36802525765,Normal
5,0.00875142415365,0.621831665039,1.38710666382,Normal
6,-0.00554120805528,0.627547096252,1.39841294173,Normal
7,-0.00992223852211,0.630337239146,1.40415406728,Normal
8,-0.0163572735257,0.6317682724,1.40699300988,Normal
9,-0.0165867745876,0.632223260164,1.40823444579,Normal
