depth,alpha,beta,efficiency,status
0,5.1140625,0.020625,4.44612551373,Normal
1,1.40555555556,0.10175,3.31029673924,Normal
2,0.652699110243,0.159475830078,2.6146223958,Normal
3,0.427473958333,0.215015625,2.11924723504,Normal
4,0.282173665365,0.27195526123,1.87367074664,Normal
5,0.211312564462,0.314213623434,1.81406205683,Normal
6,0.152643826604,0.345508746028,1.82702716293,Normal
7,0.095823638969,0.374299323082,1.86119589787,Normal
8,0.0605782906214,0.392438314438,1.89912091521,Normal
9,0.0317241244846,0.405158805847,1.93178980846,Normal
