depth,alpha,beta,efficiency,status
0,3.35390625,0.336703125,2.47877877341,Normal
1,0.551891072591,0.499468078613,1.75369921702,Normal
2,0.158150227865,0.591478271484,1.5566449701,Normal
3,0.000615437825521,0.634005249023,1.55186539597,Normal
4,-0.0684244791667,0.6514921875,1.56936986392,Normal
5,-0.104709201389,0.6597421875,1.58319884762,Normal
6,-0.111480034722,0.6618046875,1.59244843797,Normal
7,-0.118250868056,0.6638671875,1.59783680932,Normal
8,-0.116970486111,0.664640625,1.60062283051,Normal
9,-0.122010633681,0.665607421875,1.60183836124,Normal
