depth,alpha,beta,efficiency,status
0,6.75,-0.0026875,4.49204556865,Normal
1,1.92578125,0.06565625,3.40927227214,Normal
2,0.864388020833,0.142070800781,2.71501362585,Normal
3,0.484440104167,0.20947265625,2.13402481367,Normal
4,0.308626302083,0.276095703125,1.8945912333,Normal
5,0.22347056071,0.323146190643,1.84072376429,Normal
6,0.131657409668,0.362094257355,1.85548935915,Normal
7,0.0668853496667,0.389332057524,1.8914723493,Normal
8,0.0236618945996,0.409622549295,1.92976301414,Normal
9,-0.00377745657331,0.421567508727,1.9636435541,Normal
