depth,alpha,beta,efficiency,status
0,5.10271754265,0.00843131637573,4.44084162721,Normal
1,2.81925455729,0.042732421875,3.31866117914,Normal
2,1.22076009115,0.133818115234,2.76193936084,Normal
3,0.702126736111,0.217228515625,2.33295297726,Normal
4,0.430826822917,0.297193359375,2.1346761203,Normal
5,0.30400390625,0.353654296875,2.10008403594,Normal
6,0.210763136546,0.392294771433,2.1251395858,Normal
7,0.138150787354,0.418006399155,2.15631252916,Normal
8,0.0914437373479,0.433808232039,2.18175981327,Normal
9,0.05900999705,0.443865406752,2.20045658983,Normal
