depth,alpha,beta,efficiency,status
0,3.66357421875,0.27418359375,2.3765079472,Normal
1,0.554947916667,0.4296875,1.60628704203,Normal
2,0.292447916667,0.523359375,1.35654498922,Normal
3,0.116920042038,0.581138443947,1.32361799569,Normal
4,0.0391459498141,0.608599773645,1.34479997306,Normal
5,0.00919713576635,0.620798857212,1.36346309267,Normal
6,-0.00799981753031,0.627543634415,1.37454943427,Normal
7,-0.0208390580283,0.631655825615,1.38025525323,Normal
8,-0.0240999009874,0.632399963379,1.38312028556,Normal
9,-0.0226851860682,0.632890946388,1.38442483836,Normal
