depth,alpha,beta,efficiency,status
0,-1.0,0.0,inf,Maximum number of function evaluations has been exceeded.
1,0.175,0.484,2.47032364199,Normal
2,-0.515725029839,0.814379333496,1.65588034815,Normal
3,-0.52645585272,0.807643845558,1.54617698721,Normal
4,-0.344652615653,0.824971077919,1.51131501678,Normal
5,-0.38860058503,0.819071029454,1.47019714765,Normal
6,-0.538242022196,0.858019134521,1.4840971057,Normal
7,-0.639372461372,0.885912126541,1.48418689702,Normal
8,-0.659643173218,0.890280944824,1.49127320155,Normal
9,-0.673031898836,0.891756629229,1.49605311451,Normal
