depth,alpha,beta,efficiency,status
0,3.0,0.33,4.31091889881,Maximum number of function evaluations has been exceeded.
1,0.631944444444,0.451,2.87872081938,Normal
2,0.396895345052,0.467193847656,2.42659737723,Normal
3,0.33447265625,0.43101953125,2.12261149089,Normal
4,0.238553883632,0.42825528264,1.98679954892,Normal
5,0.164509900411,0.446403833389,1.96492687407,Normal
6,0.0984404500574,0.466305152513,1.98453136626,Normal
7,0.046393639346,0.481356630176,2.0078531901,Normal
8,0.0052365208976,0.493019911188,2.02659679594,Normal
9,-0.0200799351765,0.498985312674,2.04023960658,Normal
