depth,alpha,beta,efficiency,status
0,3.15,0.11,2.71779364067,Normal
1,3.3,0.088,2.05193840443,Normal
2,1.47454427083,0.188203125,1.67159924937,Normal
3,0.665535481771,0.296313171387,1.43950043314,Normal
4,0.368229166667,0.36403125,1.38244887417,Normal
5,0.257590738932,0.39870904541,1.39080317898,Normal
6,0.191500345866,0.416723190308,1.4103826523,Normal
7,0.142693328857,0.432804307938,1.42714611919,Normal
8,0.120011393229,0.438184570313,1.43989129118,Normal
9,0.0949764486816,0.444917891324,1.4475324515,Normal
