depth,alpha,beta,efficiency,status
0,3.70555555556,0.022,4.51467395432,Normal
1,1.8125,0.081125,3.44274227179,Normal
2,0.719444444444,0.15675,2.70249254444,Normal
3,0.38125,0.22825,2.14185133011,Normal
4,0.24085337321,0.294046905518,1.93549880267,Normal
5,0.161982689301,0.341066118479,1.9067914778,Normal
6,0.0882623301612,0.376810382843,1.94186021516,Normal
7,0.0316115697225,0.406968948364,1.99273288516,Normal
8,0.00278627607558,0.424227384567,2.03856830242,Normal
9,-0.024680927727,0.437614391863,2.074716144,Normal
