depth,alpha,beta,efficiency,status
0,3.1546875,0.444125,3.02875134522,Normal
1,1.61168077257,0.585288085937,2.29209447078,Normal
2,0.33125,0.66825,2.25560629417,Normal
3,-0.0141682942708,0.701540039063,2.2455425962,Normal
4,-0.1,0.7095,2.25522817835,Normal
5,-0.215364583333,0.72496875,2.2642738722,Normal
6,-0.274034012689,0.729393104553,2.27170530235,Normal
7,-0.296988423665,0.729301208496,2.27881678834,Normal
8,-0.298630099826,0.732348632813,2.28393589483,Normal
9,-0.303249952528,0.732781677246,2.28669904889,Normal
