depth,alpha,beta,efficiency,status
0,3.83333333333,0.033,4.53464452858,Normal
1,2.38159722222,0.081125,3.44192578396,Normal
2,1.01782226562,0.156519042969,2.78122668466,Normal
3,0.5564453125,0.22872265625,2.3042572396,Normal
4,0.3541015625,0.29661328125,2.13075024739,Normal
5,0.242114257813,0.34752520752,2.11209623702,Normal
6,0.159375,0.3815625,2.14908947351,Normal
7,0.0950819651286,0.408317313194,2.19627232838,Normal
8,0.0679199854533,0.421079393864,2.23722036811,Normal
9,0.0448374430339,0.431237480164,2.26852487926,Normal
