depth,alpha,beta,efficiency,status
0,17.60859375,-0.136318359375,4.56818736277,Maximum number of function evaluations has been exceeded.
1,3.38611111111,0.055,3.55881554176,Normal
2,1.27378472222,0.19490625,2.83363176477,Normal
3,0.523347981771,0.314096191406,2.42989316308,Normal
4,0.249462890625,0.392358398438,2.28459311291,Normal
5,0.112200927734,0.440045654297,2.28298664654,Normal
6,0.0322840578026,0.467303875089,2.31093639958,Normal
7,-0.00696129798889,0.482023301125,2.34085626039,Normal
8,-0.0254628923204,0.488003730774,2.35629490856,Normal
9,-0.0315646701389,0.489306640625,2.37064263258,Normal
