depth,alpha,beta,efficiency,status
0,3.675,0.066,2.65183614313,Normal
1,2.29583333333,0.0825,2.10045841352,Normal
2,1.32408587138,0.163321029663,1.78008952078,Normal
3,0.8916015625,0.2498203125,1.5673674434,Normal
4,0.627928331163,0.330365570068,1.50260924479,Normal
5,0.48749593099,0.378629882812,1.51178035976,Normal
6,0.401987711589,0.402160644531,1.53165158297,Normal
7,0.352213541667,0.41353125,1.54640103431,Normal
8,0.326538085937,0.418494140625,1.55590212736,Normal
9,0.311155700684,0.421642944336,1.56165683133,Normal
