depth,alpha,beta,efficiency,status
0,372.252797502,0.166948727489,3.30357163064,Maximum number of function evaluations has been exceeded.
1,4.5046875,0.5960625,2.87346718619,Normal
2,1.25457255046,0.69235949707,2.87037421214,Normal
3,1.09314982096,0.703997314453,2.8756096365,Normal
4,1.05936686198,0.706502929687,2.87783506904,Normal
5,0.992513020833,0.7076953125,2.87879690853,Normal
6,1.03157552083,0.7056328125,2.87924576696,Normal
7,1.03157552083,0.7056328125,2.87935892455,Normal
8,1.00352986654,0.708041748047,2.87938532799,Normal
9,0.995814005534,0.707538208008,2.87938909991,Normal
