depth,alpha,beta,efficiency,status
0,19.4841796875,-0.1262421875,4.143168451,Normal
1,2.68333333333,0.1045,2.98211025045,Normal
2,0.904166666667,0.209,2.45474945701,Normal
3,0.514672851562,0.270880371094,2.05933097238,Normal
4,0.330338541667,0.3065390625,1.8550620351,Normal
5,0.235887145996,0.327499420166,1.79656476445,Normal
6,0.167301940918,0.349933135986,1.80496785323,Normal
7,0.12497736613,0.369824163437,1.83729361678,Normal
8,0.096831258138,0.382781318665,1.87311155746,Normal
9,0.0713747329182,0.392752139211,1.90389245007,Normal
