depth,alpha,beta,efficiency,status
0,3.3,0.1045,4.90112613659,Normal
1,2.26805555556,0.1161875,3.55327849807,Normal
2,0.593397352431,0.221600585938,2.5597100237,Normal
3,0.19829305013,0.298217895508,1.87673219016,Normal
4,0.0783284505208,0.346747070312,1.6408367799,Normal
5,0.0143807225757,0.382552648544,1.60142819524,Normal
6,-0.0443584865994,0.410350219727,1.61538640271,Normal
7,-0.0996744791667,0.436390625,1.64133866196,Normal
8,-0.122102864583,0.4474765625,1.66871446938,Normal
9,-0.147047932943,0.457837402344,1.68853106557,Normal
