depth,alpha,beta,efficiency,status
0,3.24375,0.309375,2.64690206529,Normal
1,0.539279513889,0.47321484375,1.82409237548,Normal
2,0.0666628748178,0.58351344496,1.58682593347,Normal
3,-0.15749528673,0.642128356934,1.54062022276,Normal
4,-0.22719285753,0.666787719727,1.54578413838,Normal
5,-0.259734193484,0.678067551613,1.55669387766,Normal
6,-0.275677945879,0.681277210236,1.56434299678,Normal
7,-0.286539671156,0.683322463989,1.56904802055,Normal
8,-0.289158027371,0.682783522725,1.57193959214,Normal
9,-0.29529252847,0.685065939903,1.57341163982,Normal
