depth,alpha,beta,mean_efficiency,status
0,3.3,0.3795,3.67547349662,Normal
1,1.53935919868,0.534245910645,2.79016440421,Normal
2,0.519287109375,0.535122070313,2.33575479013,Normal
3,0.217008463542,0.50621484375,2.04045997745,Normal
4,0.0791666666667,0.50875,1.9351927233,Normal
5,-0.00878160264757,0.518733520508,1.92467370928,Normal
6,-0.06875,0.529375,1.94247164542,Normal
7,-0.0874403211806,0.527172851562,1.96522023799,Normal
8,-0.117158508301,0.536289024353,1.98475507691,Normal
9,-0.120120324029,0.534563980103,1.99981155958,Normal
