depth,alpha,beta,mean_efficiency,status
0,3.365625,0.37640625,3.67563452153,Normal
1,1.52801649306,0.53431640625,2.79032496615,Normal
2,0.512169583639,0.535427761078,2.33591493645,Normal
3,0.210308984915,0.507955298424,2.04061968764,Normal
4,0.0739705827501,0.506234397888,1.93534233371,Normal
5,0.00437641206922,0.512045268891,1.92481767676,Normal
6,-0.0488743358188,0.519899530411,1.94259247724,Normal
7,-0.0859681675831,0.52727714926,1.96537882989,Normal
8,-0.117189449734,0.536085300446,1.98491573848,Normal
9,-0.126174713175,0.536358028352,1.99996746638,Normal
