depth,alpha,beta,mean_efficiency,status
0,3.36993223652,0.373833603702,3.68897196452,Normal
1,1.54196828206,0.534314727783,2.80366342295,Normal
2,0.514756877332,0.533713988136,2.34925343512,Normal
3,0.203456115723,0.509301879883,2.0539585192,Normal
4,0.0700996426245,0.506703861281,1.9486810958,Normal
5,0.000633029756621,0.513015874624,1.93815541835,Normal
6,-0.0497466405233,0.520900211334,1.95592970058,Normal
7,-0.0861652619309,0.528012340665,1.97871647483,Normal
8,-0.11804300944,0.535889968872,1.99825590594,Normal
9,-0.123865848117,0.535054092407,2.01330668168,Normal
