depth,alpha,beta,mean_efficiency,status
0,9.58734741211,0.00385375976562,4.78461817724,Maximum number of function evaluations has been exceeded.
1,2.3792839898,0.134070556641,3.22191084651,Normal
2,0.785541862912,0.282483570099,2.55649929591,Normal
3,0.373783365885,0.344703369141,2.22685001305,Normal
4,0.270157424609,0.362443446636,2.06410828149,Normal
5,0.175932820638,0.391850578308,2.0363660656,Normal
6,0.0953509648641,0.408977501392,2.01636320876,Normal
7,0.0531307178705,0.420608075958,2.03414074591,Normal
8,0.0132613141594,0.431369186341,2.04967634126,Normal
9,-0.0103252703822,0.437155551007,2.06580709226,Normal
