depth,alpha,beta,mean_efficiency,status
0,3.1954010725,0.375062262297,3.70154936977,Normal
1,1.5548421224,0.534343261719,2.81623943013,Normal
2,0.503989156087,0.535855560303,2.3618289481,Normal
3,0.208500324523,0.509187799113,2.06653436372,Normal
4,0.072306330502,0.506976281852,1.96125732291,Normal
5,0.000907185094224,0.513284450993,1.95073205917,Normal
6,-0.0497435953882,0.52036266923,1.96850637147,Normal
7,-0.0868666728338,0.527802407742,1.99129336901,Normal
8,-0.117688627375,0.535755817741,2.01083067864,Normal
9,-0.124516319763,0.535832402809,2.02588197853,Normal
